pl_orbper	st_mass	planet_mass	env_mass
18.27	0.59	-5.088961559189582	-0.2035584623675833
1.209	0.61	-4.399446718668422	-0.17597786874673688
1.208974	0.62	-3.3657346641498895	-0.13462938656599557
1.2089802	0.61	-15.465942546937683	-0.6186377018775073
3.64823	0.64	-10.869016198685877	-0.4347606479474351
3.648083	0.61	-2.4730839534291706	-0.09892335813716682
3.64802	0.66	-17.814567472307445	-0.7125826988922979
3.6480957	0.61	-7.9468579929534915	-0.3178743197181397
6.20147	0.61	-2.9021838719870523	-0.11608735487948209
6.201467	0.61	-10.237321892202269	-0.4094928756880908
6.20142	0.64	-6.571128630160812	-0.2628451452064325
6.20183	0.62	-2.591224940850755	-0.10364899763403021
6.20141	0.66	-4.294833762756175	-0.17179335051024702
1.744579	1.68	-14.973667738097925	-0.598946709523917
3.6915224	1.0	-22.800209919975032	-0.9120083967990013
3.822	0.56	-17.05577189499116	-0.6822308757996465
13.8508	0.52	-7.0630501888258825	-0.2825220075530353
15.53209	0.42	-19.37650056414829	-0.7750600225659317
15.53	0.43	-5.019104247482241	-0.20076416989928966
12.76142	0.24	-1.3973480513829515	-0.05589392205531806
4.46529976	1.15	-6.227669297332453	-0.2491067718932981
4.46	1.13	-11.506519531241775	-0.460260781249671
4.46529976	1.13	-9.744949864569946	-0.38979799458279785
4.46543	1.13	-2.703892958894325	-0.108155718355773
4.4652934	1.13	-2.5401037223264566	-0.10160414889305827
4.46529913	1.13	-6.295187957118255	-0.2518075182847302
4.88780271	0.83	-3.700006872709648	-0.1480002749083859
4.88782	0.88	-8.813697338210005	-0.3525478935284002
4.88780308	0.77	-1.5982164892652146	-0.06392865957060859
4.8878162	0.81	-6.397696898501632	-0.2559078759400653
4.88780271	0.83	-8.613118351683802	-0.34452473406735207
4.88780271	0.83	-16.60088091447295	-0.6640352365789179
4.88780026	0.79	-3.200697013802878	-0.12802788055211511
3397.0	0.81	-13.865187265455495	-0.5546074906182198
3.21305992	0.69	-12.97759573844268	-0.5191038295377072
3.21305751	0.73	-11.879520894284449	-0.47518083577137793
3.2130598	0.73	-7.989213614342427	-0.3195685445736971
3.2130579	0.73	-3.964002022794271	-0.15856008091177085
3.2130589	0.73	-23.741428796166833	-0.9496571518466733
2.91626	1.22	-4.828960368976464	-0.19315841475905857
2.91624268	1.22	-18.944113556463286	-0.7577645422585314
445.82	1.32	-7.640434185936382	-0.30561736743745527
445.82	1.32	-11.084059959076091	-0.44336239836304364
4.6276594	1.43	-9.620463811879786	-0.3848185524751914
4.627669	1.39	-14.705950697849271	-0.5882380279139708
4.627669	1.39	-8.31190155265925	-0.33247606210637004
4.6276691	1.42	-7.514075502360435	-0.30056302009441743
4.6276623	1.39	-13.88322213321426	-0.5553288853285704
10.863502	1.01	-12.29509260698682	-0.49180370427947284
10.8635	1.0	-3.1836918840707096	-0.12734767536282837
10.863502	1.01	-15.258491651987924	-0.610339666079517
2.77596748	1.22	-6.4137218198742865	-0.25654887279497146
2.77596	1.22	-1.5132348965537878	-0.06052939586215152
10.338523	0.86	-4.1263862459271685	-0.16505544983708675
10.338523	0.86	-9.653738528050475	-0.386149541122019
10.33853522	0.86	-19.096631217085175	-0.763865248683407
10.3385346	0.86	-5.242980923572162	-0.2097192369428865
1610.0	0.86	-17.56589332327769	-0.7026357329311077
5.5080232	0.77	-3.7118344967299324	-0.1484733798691973
5.5080291	0.77	-8.993353397014243	-0.35973413588056974
5.508023	0.77	-9.869213244087756	-0.3947685297635103
5.508023	0.77	-3.2129331798746197	-0.1285173271949848
5.50803	0.77	-2.5100850930667717	-0.10040340372267087
4.00878322	0.81	-1.3261799180925478	-0.05304719672370191
4.008778	0.84	-14.865390341900913	-0.5946156136760365
5.63346785	1.31	-16.38297174038014	-0.6553188696152056
5.6334729	1.28	-2.211394912428715	-0.0884557964971486
5.63332	1.31	-7.106622063434729	-0.2842648825373892
5.63347	1.93	-25.00024152722068	-1.0000096610888272
5.6334754	1.36	-15.694197468881537	-0.6277678987552615
5.63346964	1.33	-22.447058703092807	-0.8978823481237123
5.6334729	1.36	-12.119167218276946	-0.48476668873107787
8500.0	1.33	-2.045081053629622	-0.08180324214518488
2.87531773	0.76	-10.04701305706077	-0.4018805222824308
2.87531694	0.74	-4.574582662929135	-0.1829833065171654
4.124481	0.95	-8.406587094904182	-0.3362634837961673
4.1244799	1.24	-7.141896835966825	-0.285675873438673
3.21222	0.92	-11.703250632963844	-0.46813002531855374
3.21222	1.13	-4.791224072399084	-0.19164896289596337
3.21223328	0.94	-9.62661404083827	-0.3850645616335308
3.21223218	0.92	-0.6279940641536168	-0.025119762566144673
1.2128864	1.13	-14.83388380497833	-0.5933553521991332
1.21288	0.58	-0.22922836774031774	-0.00916913470961271
1.21288287	1.1	-1.4316221012503034	-0.057264884050012135
1.21288644	1.13	-7.719999776538702	-0.3087999910615481
3.35524	1.37	-3.6580316824262487	-0.14632126729704995
3.35524439	1.19	-11.06985982912919	-0.4427943931651676
3.652836	1.01	-5.106793964867951	-0.20427175859471802
3.65281514	1.01	-2.3744689783691	-0.09497875913476402
3.652836	1.01	-9.294001746418935	-0.3717600698567574
