stellar_mass	planet_mass	env_mass
0.6	-4.1434407879156785	-0.16573763151662715
0.65	-5.6149721188054755	-0.22459888475221904
1.0	-11.436736499439684	-0.45746945997758737
0.97	-9.82197614977772	-0.39287904599110884
1.03	-13.146249544944691	-0.5258499817977876
0.99	-13.781484205316119	-0.5512593682126448
0.85	-8.340703237679596	-0.33362812950718385
1.01	-8.752235817168527	-0.3500894326867411
1.04	-4.594649640579432	-0.18378598562317727
1.3	-7.768490418765868	-0.3107396167506347
0.89	-17.61003283325157	-0.7044013133300628
1.03	-11.801592276428297	-0.47206369105713186
0.89	-13.110585258595007	-0.5244234103438002
0.96	-10.475400013620558	-0.4190160005448223
0.71	-12.393514594400497	-0.49574058377601987
1.05	-23.556570620761335	-0.9422628248304534
1.06	-6.0131813204626035	-0.24052725281850415
1.21	-4.654551399354532	-0.1861820559741813
1.06	-1.632007933851124	-0.06528031735404496
0.64	-1.5674270253466074	-0.0626970810138643
0.7	-5.991813658296261	-0.23967254633185042
0.88	-19.545690504803424	-0.781827620192137
0.88	-13.927214861788077	-0.557088594471523
0.68	-0.6739587676003116	-0.026958350704012465
0.56	-6.794925884709046	-0.2717970353883618
0.92	-2.1007806615778364	-0.08403122646311345
0.85	-1.5784005315169662	-0.06313602126067865
1.13	-0.6860742176634362	-0.02744296870653745
1.0	-17.971851675576747	-0.7188740670230699
0.76	-7.573522394583338	-0.30294089578333355
1.32	-14.012209028051723	-0.5604883611220689
0.87	-8.163583020824788	-0.32654332083299153
0.96	-1.35261602744061	-0.054104641097624404
1.22	-4.789041775054647	-0.1915616710021859
1.06	-4.5913341759915	-0.18365336703966
0.7	-10.764782465419252	-0.4305912986167701
1.09	-9.970283203227687	-0.3988113281291075
0.94	-20.26073886332455	-0.810429554532982
0.7	-6.347511047075475	-0.253900441883019
0.56	-2.876064486711661	-0.11504257946846645
0.51	-6.463087790800163	-0.25852351163200654
0.57	-13.377016502322679	-0.5350806600929071
0.47	-9.99935280336142	-0.3999741121344568
0.74	-17.78539270571482	-0.7114157082285928
0.85	-7.559773211313245	-0.3023909284525298
0.9	-3.5950764972673217	-0.14380305989069286
1.2	-6.321232302272767	-0.25284929209091067
1.23	-5.163413809312457	-0.2065365523724983
0.93	-7.419725390218883	-0.2967890156087553
0.89	-9.54829485426143	-0.3819317941704572
1.05	-14.980167825660306	-0.5992067130264123
0.53	-14.863294736674696	-0.5945317894669878
0.94	-0.44383901533608583	-0.017753560613443433
0.51	-7.948093028411349	-0.31792372113645395
0.7	-11.392940464905777	-0.4557176185962311
0.75	-4.819677255457526	-0.19278709021830104
0.98	-10.661062580501845	-0.4264425032200738
0.5	-11.89812231336197	-0.4759248925344788
0.82	-4.414943032219549	-0.17659772128878196
1.21	-22.26324515558241	-0.8905298062232965
1.1	-18.251566516167962	-0.7300626606467185
0.82	-17.762268570448903	-0.7104907428179561
0.91	-6.815357446257982	-0.2726142978503193
1.17	-6.103699282617287	-0.24414797130469149
0.44	-5.569834221532233	-0.2227933688612893
1.15	-12.549514979159209	-0.5019805991663684
1.29	-10.643122669974407	-0.4257249067989763
0.98	-1.9921055797475522	-0.07968422318990209
0.99	-8.4697016767685	-0.33878806707074
0.94	-9.952826041510756	-0.3981130416604302
0.35	-11.66462943796006	-0.46658517751840245
0.88	-7.402298812880721	-0.29609195251522885
0.15595738724434882	-2.9599520790418117	-0.11839808316167247
1.3941495670407802	-3.9981390394869614	-0.15992556157947846
1.0521477790285	-2.2014145670732237	-0.08805658268292894
1.0467702782525017	-1.9732764408790255	-0.07893105763516102
0.7964452215469815	-1.2793289972290798	-0.05117315988916319
0.9610715238497107	-1.6915708517322907	-0.06766283406929163
0.8543101884059181	-3.0172928937262524	-0.1206917157490501
1.0741629470260605	-1.3163981378814418	-0.05265592551525767
0.8401414789128441	-1.4717581984072785	-0.05887032793629114
0.8380093887509893	-0.4546438972955835	-0.018185755891823342
1.146411142369328	-1.6725551277001092	-0.06690220510800436
0.3502010277739377	-1.5018218891579127	-0.06007287556631651
0.9611236006464203	-2.7202092757100136	-0.10880837102840055
1.3667356850787167	-0.7471498950307054	-0.029885995801228218
1.2237598360917883	-1.9145794882039762	-0.07658317952815905
0.6983703250926632	-4.15134864279832	-0.1660539457119328
